Humano,Palhaço de Festa,Careca,Segurando Galinha de Borracha
Manequim,Vendedor de Seguros,Barrigudo,Com Saia de Bailarina
Boneco-de-Testes,Animador de Festas,Narigudo,Com Calda de Sereia
Boneca,Vendedor de Carros,Esbugalhado,Usando Peruca
Boneco Voodoo,Acrobata,Extremamente Peludo,Cheio de Glitter
Brinquedo,Arremessador de Facas,Suspeito,Semi-Nu
Ursinho,Gandula,Pegajoso,Com um Chapéu de Frutas
João-Bobo,Polidor de Moedas,Fedido,Segurando um Pinguim
Animal de Pelúcia,Artesão de Perucas,Nojento,Com Asas de Fada
Boneco de Posto,Construtor de Caixões,Cheiroso,Sem Calças
Marionete,Locutor de Bingo,Lindo,Sem um Sapato
Ventríloco,Locutor de Jogo de Damas,Muito Atraente,De Tapa-Olho Colorido
,Mergulhador de Campo de Golf,Muito Musculoso,Periculoso
,Atendente de Telemarketing,Endeusado,Vestido de Papel Higiênico
,Provador de Ração Animal,Melequento,Revestido de Flores
,Nomeador de Cometas,Indeciso,Coberto de Glamour
,Namorado de Aluguel,Em Crise Existencial,Rodeado de Moscas
,Convidado de Casamento,Gourmet,Pelado
,Provador de Desodorantes,Explodindo de Raiva,Repleto de Rugas
,Provador de Cuecas,Fofo,Com 4 Olhos
,Cientista de Pães,Inchado,Usando Bambolê
,Entusiasta de Batatas,Cadavérico,Com Saco de Doces
,Seguidor de Ovelhas,Pernudo,Vestido de Cachorro
,Testador de Sofás,Beiçudo,Com Fantasia Estranha
,Advogado Espacial,Maquiado,Vestindo Chapéu Estranho
,Especialista em Parkour,Empoderado,Recheado de Armas
,Monociclista,Chique,Vestindo Fantasia Ruim
,Amigo Profissional,Glamuroso,Sem Camisa
,Especialista em Barba,Questionável,Comendo Algo Nojento
,Pinguinlogista,Muito Estranho,Comendo Algo Gostoso
,Especialista em Espirros,Bizarro,Segurando Animal Estranho
,Assobiador Profissional,Chocado,Com Acessório Bizarro
,Dobrador Profissional de Papéis,Enjoadinho,Com Manual de Sobrevivência
,Dono do Parquinho,Com Ânsia,Segurando Arma Ineficaz
,Pescador,Babando,Preso em Uma Caixa
,Domador de Lontras,Sujo de Tinta,Preso de Um Balão
,Cheirador de Queijos,Arrependido,Com Óculos Chamativo
,Massagista de Animais,Aposentado,De Cachecol Bufante
,Instrutor de Cantadas,Falso,Muito Colorido
,Adestrador de Melancias,Constipado,De Roupa Sem Graça
,Pilantra,Com Vontade de ir Ao Banheiro,Com Molas
,Falso Executivo,Contemporâneo,De Patins
,Assistente,Blazê,De Skate
,Herói Japonês,De Mau Gosto,Com Prancha de Surf
,Atleta Olímpico,Sexy,De Monociclo
,Coach de Doces,Sedutor,Com Buzina Irritante
,Imitador,Malandrão,Com Vuvuzela
,Combatente do Crime,Festeiro,Com Instrumento Estranho
,Vendedor de Sapos,Quimicamente Alterado,Com Revistas Comprometedoras
,Reparador de Crânios,Sem Noção,Com Marionete
,Sommelier de Água,Perdido na Vida,Cheio de Anéis
,Ativista,Preguiçoso,Cheio de Colares
,Tiozão,Com Fortes Olheiras,De Salto Alto
,Ventríloco,Com Insônia,Descalço
,Adestrador de Unicórnios,Extremamente Desconfortável,Com Chinelo Estranho
,Fanático por Animais Estranhos,Em Posição Improvável,Vestindo Pele Estranha
,Dono de Fã-Clube,Cafona,Com Tatuagem Comprometedora
,,Sem Dinheiro,De Pijamas
,,Envergonhado,Fantasiado de Comida
,,Ansioso,Com a Boca Suja
,,Preocupado com o Tempo,Banguela
,,Mal Feito,Montado em Animal Exótico
,,,Com Braço Engessado
,,,Com Perna Engessada
,,,Com Corpo Engessado
